circle,division,subdivision,section,area,catdesc,catcode,totservices,billdservices,units,load
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,APARTMENTS IN ROAD NO.11,DOMESTIC,1,62,62.0,29549.0,241.0
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,DK BASTI MASJID ,DOMESTIC,1,513,513.0,226039.0,2086.75
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,DWARAKAPURI COLONY,DOMESTIC,1,246,230.0,60525.0,788.5
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,DWARAKAPURI COLONY APPT,DOMESTIC,1,610,596.0,224776.0,3001.0
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,GAFFAR COLONY,DOMESTIC,1,139,133.0,46520.0,515.2
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,GOWRI SHANKER COLONY,DOMESTIC,1,1764,1684.0,257650.0,2269.88
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,GRC ROAD NO 2 AND 3,DOMESTIC,1,111,109.0,123571.0,2633.65
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,"GRC ROAD NO 7,8,9,10 AND 11",DOMESTIC,1,145,143.0,282831.0,3874.0
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,"GRC ROAD NO1,4,5,6,AND14",DOMESTIC,1,363,361.0,413769.0,7978.7
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,HINDI NAGAR,DOMESTIC,1,111,98.0,21342.0,265.06
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,IAS-IPS OFFICERS QUARTERS,DOMESTIC,1,92,91.0,29539.0,457.0
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,"JOURNALIST NOVODAYA,U.B.COLONY",DOMESTIC,1,1064,1025.0,541642.0,5114.24
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,KCR HOUSE & NANDI NAGAR,DOMESTIC,1,1070,1002.0,202326.0,1966.39
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,NAGARJUNA HILLS,DOMESTIC,1,23,19.0,7455.0,134.5
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,NAGARJUNA HILLS AND PANJAGUTTA,DOMESTIC,1,29,29.0,23079.0,585.0
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,NET METERING,DOMESTIC,1,31,31.0,16461.0,183.0
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,NEW VENKATESHWARA NAGAR,DOMESTIC,1,1868,1843.0,256190.0,2328.27
BANJARA HILLS,BANJARA HILLS,AMEERPET,SRI KRISHNA NAGAR,A G COLONY,DOMESTIC,1,1030,927.0,66582.0,1241.58
BANJARA HILLS,BANJARA HILLS,AMEERPET,SRI KRISHNA NAGAR,COUNCELLOR & VIDEO LANE,DOMESTIC,1,1351,1300.0,166822.0,1511.15
